sample_idx,reference,baseline_prediction,speculative_prediction,baseline_time_s,speculative_time_s,per_sample_speedup,outputs_identical
0,mister quilter is the apostle of the middle classes and we are glad to welcome his gospel, mr quilter is the apostle of the middle classes and we are glad to welcome his gospel , mr quilter is the apostle of the middle classes and we are glad to welcome his gospel ,2.6185570439999992,0.6792702839999833,3.854955980968635,True
1,nor is mister quilter s manner less interesting than his matter, nor is mr quilter s manner less interesting than his matter , nor is mr quilter s manner less interesting than his matter ,0.6660399259999963,0.48660249599998906,1.368755671158767,True
2,he tells us that at this festive season of the year with christmas and roast beef looming before us similes drawn from eating and its results occur most readily to the mind, he tells us that at this festive season of the year with christmas and roast beef looming before us similes drawn from eating and its results occur most readily to the mind, he tells us that at this festive season of the year with christmas and roast beef looming before us similes drawn from eating and its results occur most readily to the mind,1.6657062190000147,0.6771196020000048,2.459988182412718,True
3,he has grave doubts whether sir frederick leighton s work is really greek after all and can discover in it but little of rocky ithaca, he has grave doubts whether sir frederick leighton s work is really greek after all and can discover in it but little of rocky ithaca , he has grave doubts whether sir frederick leighton s work is really greek after all and can discover in it but little of rocky ithaca ,1.4429907459999924,0.7424444760000029,1.9435672196987117,True
4,linnell s pictures are a sort of up guards and at em paintings and mason s exquisite idylls are as national as a jingo poem mister birket foster s landscapes smile at one much in the same way that mister carker used to flash his teeth and mister john collier gives his sitter a cheerful slap on the back before he says like a shampooer in a turkish bath next man, linnell s pictures are a sort of up guards and adam paintings and mason s exquisite idylls are as national as a jingo poem mr burkett foster s landscapes smile at one much in the same way that mr carker used to flash his teeth and mr john collier gives his sitter a cheerful slap on the back before he says like a shampooer in a turkish bath next man, linnell s pictures are a sort of up guards and adam paintings and mason s exquisite idylls are as national as a jingo poem mr burkett foster s landscapes smile at one much in the same way that mr carker used to flash his teeth and mr john collier gives his sitter a cheerful slap on the back before he says like a shampooer in a turkish bath next man,2.962971849000013,1.5770428870000046,1.8788150109452313,True
5,it is obviously unnecessary for us to point out how luminous these criticisms are how delicate in expression, it is obviously unnecessary for us to point out how luminous these criticisms are how delicate in expression , it is obviously unnecessary for us to point out how luminous these criticisms are how delicate in expression thank you ,0.8775334729999997,0.6566402969999672,1.3363990559355567,False
6,on the general principles of art mister quilter writes with equal lucidity, on the general principles of art mr quilter writes with equal lucidity , on the general principles of art mr quilter writes with equal lucidity ,0.7808017170000028,0.5596104300000206,1.3952594075131408,True
7,painting he tells us is of a different quality to mathematics and finish in art is adding more fact, painting he tells us is of a different quality to mathematics and finish in art is adding more fact , painting he tells us is of a different quality to mathematics and finish in art is adding more fact ,0.9683441880000032,0.6133136590000277,1.5788726922841279,True
8,as for etchings they are of two kinds british and foreign, as for etchings they are of two kinds british and foreign , as for etchings they are of two kinds british and foreign ,0.6955767999999978,0.4886297099999979,1.423525393083447,True
9,he laments most bitterly the divorce that has been made between decorative art and what we usually call pictures makes the customary appeal to the last judgment and reminds us that in the great days of art michael angelo was the furnishing upholsterer, he laments most bitterly the divorce that has been made between decorative art and what we usually call pictures makes a customary appeal to the last judgment and reminds us that in the great days of art michael angelo was the furnishing upholsterer, he laments most bitterly the divorce that has been made between decorative art and what we usually call pictures makes a customary appeal to the last judgment and reminds us that in the great days of art michael angelo was the furnishing upholsterer,1.878212480000002,0.8361930230000212,2.246147035838105,True
10,near the fire and the ornaments fred brought home from india on the mantel board, near the fire and the ornaments fred brought home from india on the mental board , near the fire and the ornaments fred brought home from india on the mental board ,0.7442997050000031,0.4978565000000117,1.4950085114887233,True
11,in fact he is quite severe on mister ruskin for not recognising that a picture should denote the frailty of man and remarks with pleasing courtesy and felicitous grace that many phases of feeling, in fact he is quite severe on mr ruskin for not recognizing that a picture should denote the frailty of man and remarks with pleasing courtesy and felicitous grace that many phases of feeling, in fact he is quite severe on mr ruskin for not recognizing that a picture should denote the frailty of man and remarks with pleasing courtesy and felicitous grace that many phases of feeling,1.7996276549999948,0.9294258890000151,1.9362788107142619,True
12,only unfortunately his own work never does get good, only unfortunately his own work never does get good , only unfortunately his own work never does get good ,0.7817169660000047,0.49651580400001194,1.5744050032292345,True
13,mister quilter has missed his chance for he has failed even to make himself the tupper of painting, mr quilter has missed his chance for he has failed even to make himself the tupper of painting , mr quilter has missed his chance for he has failed even to make himself the tupper of painting ,0.9758949060000077,0.7217433720000486,1.3521355981360395,True
14,by harry quilter m a, by harry quilter m a , by harry quilter m a ,0.5237148570000159,0.7257159240000419,0.7216527013950236,True
15,because you were sleeping instead of conquering the lovely rose princess has become a fiddle without a bow while poor shaggy sits there a cooing dove, because you are sleeping instead of conquering the lovely rose princess has become a fiddle without a bow while poor shaggy sits there a cooing dove, because you are sleeping instead of conquering the lovely rose princess has become a fiddle without a bow while poor shaggy sits there a cooing dove,1.2075381509999943,0.8237701589999915,1.465867800389704,True
16,he has gone and gone for good answered polychrome who had managed to squeeze into the room beside the dragon and had witnessed the occurrences with much interest, he has gone and gone for good answered polychrome who had managed to squeeze into the room beside the dragon and had witnessed the occurrences with much interest, he has gone and gone for good answered polychrome who had managed to squeeze into the room beside the dragon and had witnessed the occurrences with much interest,1.2025604279999982,1.2044249760000412,0.9984519185194621,True
17,i have remained a prisoner only because i wished to be one and with this he stepped forward and burst the stout chains as easily as if they had been threads, i have remained a prisoner only because i wished to be one and with this he stepped forward and burst the stout chains as easily as if they had been threads, i have remained a prisoner only because i wished to be one and with this he stepped forward and burst the stout chains as easily as if they had been threads,1.2404036880000149,1.268873645000042,0.9775628116225661,True
18,the little girl had been asleep but she heard the raps and opened the door, the little girl had been asleep but she heard the raps and opened the door , the little girl had been asleep but she heard the raps and opened the door ,0.7325229369999988,0.6299207550000006,1.1628810944640142,True
19,the king has fled in disgrace and your friends are asking for you, the king is fled in disgrace and your friends are asking for you , the king is fled in disgrace and your friends are asking for you ,0.6477294889999996,0.8630485880000265,0.7505133523258597,True
20,i begged ruggedo long ago to send him away but he would not do so, i begged ruggedo long ago to send him away but he would not do so , i begged ruggedo long ago to send him away but he would not do so ,0.8073439730000018,0.51307455999995,1.5735412276143266,True
21,i also offered to help your brother to escape but he would not go, i also offered to help your brother to escape but he would not go , i also offered to help your brother to escape but he would not go ,0.7040455240000085,0.4841813519999505,1.454094671535554,True
22,he eats and sleeps very steadily replied the new king, he eats and sleeps very steadily replied the new king , he eats and sleeps very steadily replied the new king the end transcript emily beynon bf watch tv 2021 wgbh 2020 ,0.6188237089999973,2.7310242500000186,0.22659033840508486,False
23,i hope he doesn t work too hard said shaggy, i hope it doesn t work too hard said shaggy , i hope it doesn t work too hard said shaggy ,0.6505879870000228,0.7093064169999934,0.9172171171828393,True
24,he doesn t work at all, he doesn t work at all , he doesn t work at all ,0.4818103620000045,0.5238860229999887,0.919685467539215,True
25,in fact there is nothing he can do in these dominions as well as our nomes whose numbers are so great that it worries us to keep them all busy, in fact there is nothing he can do in these dominions as well as our gnomes whose numbers are so great that it worries us to keep them all busy , in fact there is nothing he can do in these dominions as well as our gnomes whose numbers are so great that it worries us to keep them all busy ,1.8000020879999852,0.9759307459999604,1.8443953071236248,True
26,not exactly returned kaliko, not exactly returned calico , not exactly returned calico ,0.5094427629999814,0.47207825100002765,1.0791489799006893,True
27,where is my brother now, where is my brother now , where is my brother now ,0.3983389169999896,0.4720330239999839,0.8438793405268253,True
28,inquired shaggy in the metal forest, inquired shaggy in the metal forest , inquired shaggy in the metal forest ,0.5790449010000032,0.6878996159999815,0.8417578488661618,True
29,where is that, where is that , where is that ,0.3389492450000091,0.4026446690000398,0.8418073579411419,True
30,the metal forest is in the great domed cavern the largest in all our dominions replied kaliko, the middle forest is in the great domed cavern the largest in all our dominions replied calico , the middle forest is in the great domed cavern the largest in all our dominions replied calico ,0.9617227410000169,0.774435531999984,1.2418370558442258,True
31,kaliko hesitated, calico hesitated , calico hesitated ,0.3495499870000174,0.4073037949999616,0.8582045914893828,True
32,however if we look sharp we may be able to discover one of these secret ways, however if we look sharp we may be able to discover one of these secret ways , however if we look sharp we may be able to discover one of these secret ways ,0.8157481940000082,0.5266735719999929,1.5488686681245118,True
33,oh no i m quite sure he didn t, oh no i m quite sure he didn t , oh no i m quite sure he didn t ,0.5592351829999984,0.4433774480000352,1.261307235003874,True
